"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.977307125E0,7.200027466E-2,2.227368164E-1,9.813293152E0,9.816084668E0
2.987368125E0,6.990463257E-2,2.305206299E-1,9.799072723E0,9.802033088E0
2.997429125E0,7.364685059E-2,2.219883728E-1,9.789642334E0,9.792435842E0
3.007490125E0,6.960525513E-2,2.296224976E-1,9.798024902E0,9.800962370E0
3.017551125E0,7.768844604E-2,2.288740540E-1,9.804760895E0,9.807739547E0
3.027612125E0,7.110214233E-2,2.194436646E-1,9.788744202E0,9.791461795E0
3.037673125E0,7.304809570E-2,2.282752991E-1,9.799671478E0,9.802602038E0
3.047734125E0,7.843688965E-2,2.324665833E-1,9.800270233E0,9.803340742E0
3.057795125E0,7.379653931E-2,2.251318359E-1,9.799970856E0,9.802834235E0
3.067856125E0,7.649093628E-2,2.222877502E-1,9.786798248E0,9.789621170E0
3.077917125E0,6.900650024E-2,2.273771667E-1,9.789492645E0,9.792376041E0
3.087978125E0,7.289840698E-2,2.273771667E-1,9.796977081E0,9.799886453E0
3.098039125E0,7.334747314E-2,2.204914856E-1,9.789492645E0,9.792250130E0
3.108100125E0,7.185058594E-2,2.264790344E-1,9.795031128E0,9.797912536E0
3.118162125E0,7.514373779E-2,2.297721863E-1,9.798923035E0,9.801904635E0
3.128223125E0,7.798782349E-2,2.245330811E-1,9.805659027E0,9.808539451E0
3.138284125E0,7.289840698E-2,2.257305908E-1,9.798923035E0,9.801793770E0
3.148345125E0,7.214996338E-2,2.240840149E-1,9.791737976E0,9.794567466E0
3.158406125E0,7.125183105E-2,2.257305908E-1,9.798923035E0,9.801781663E0
3.168467125E0,7.918533325E-2,2.254312134E-1,9.798773346E0,9.801686010E0
3.178528125E0,7.140151978E-2,2.216889954E-1,9.794731750E0,9.797500408E0
3.188589125E0,7.858657837E-2,2.257305908E-1,9.795031128E0,9.797946976E0
3.198650125E0,8.038284302E-2,2.249821472E-1,9.794582062E0,9.797495401E0
3.208711125E0,7.035369873E-2,2.327659607E-1,9.804461517E0,9.807476499E0
3.218772125E0,7.843688965E-2,2.176473999E-1,9.801916809E0,9.804646647E0
