"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.659067375E0,2.118095398E-1,1.062789917E-1,9.767937469E0,9.770811681E0
2.669128375E0,2.064207458E-1,1.025367737E-1,9.766889648E0,9.769608831E0
2.679189375E0,2.130070496E-1,1.115180969E-1,9.849517822E0,9.852451960E0
2.689250375E0,2.115101624E-1,1.103205872E-1,9.832004242E0,9.834897793E0
2.699311375E0,2.088157654E-1,1.140628052E-1,9.758357391E0,9.761257774E0
2.709372375E0,2.077679443E-1,1.061293030E-1,9.806257782E0,9.809032706E0
2.719432375E0,2.092648315E-1,9.984237671E-2,9.850865021E0,9.853593351E0
2.729493375E0,2.113604736E-1,1.047821045E-1,9.788444824E0,9.791287179E0
2.739554375E0,1.971400452E-1,9.714797974E-2,9.766141205E0,9.768613820E0
2.749615375E0,1.927990723E-1,9.071136475E-2,9.804311829E0,9.806626865E0
2.759672000E0,2.101629639E-1,1.035845947E-1,9.832004242E0,9.834795659E0
2.769733000E0,2.073188782E-1,1.163081360E-1,9.770931244E0,9.773822490E0
2.779793000E0,2.038760376E-1,1.163081360E-1,9.746681671E0,9.749507507E0
2.789854000E0,2.040257263E-1,1.187031555E-1,9.819430389E0,9.822267055E0
2.799915000E0,2.040257263E-1,1.203497314E-1,9.804611206E0,9.807472226E0
2.809976000E0,2.020797729E-1,1.255888367E-1,9.721983032E0,9.724893977E0
2.820037000E0,2.056723022E-1,1.094224548E-1,9.743089142E0,9.745874019E0
2.830098000E0,2.122586060E-1,1.062789917E-1,9.825268250E0,9.828135383E0
2.840158000E0,2.137554932E-1,1.134640503E-1,9.767488403E0,9.770485925E0
2.850219000E0,2.028282166E-1,1.043330383E-1,9.715396729E0,9.718073794E0
2.860280000E0,2.088157654E-1,1.007405090E-1,9.795180817E0,9.797924265E0
2.870341000E0,2.209405518E-1,9.849517822E-2,9.846673737E0,9.849644649E0
2.880402000E0,2.019300842E-1,8.337661743E-2,9.773026886E0,9.775468374E0
2.890463000E0,2.037263489E-1,7.843688965E-2,9.746981049E0,9.749425436E0
2.900523000E0,1.986369324E-1,7.783813477E-2,9.855655060E0,9.857963890E0
2.910584000E0,2.053729248E-1,7.738906860E-2,9.855655060E0,9.858098385E0
2.920645000E0,2.029779053E-1,7.753875732E-2,9.765243073E0,9.767660137E0
2.930706000E0,2.013313293E-1,8.577163696E-2,9.801767120E0,9.804209798E0
2.940767000E0,2.032772827E-1,9.849517822E-2,9.897717590E0,9.900294766E0
2.950828000E0,2.037263489E-1,1.034349060E-1,9.814340973E0,9.817000150E0
2.960888000E0,1.963916016E-1,1.104702759E-1,9.742191010E0,9.744796509E0
2.970949000E0,1.968406677E-1,1.213975525E-1,9.838440857E0,9.841158576E0
2.981010000E0,2.158511353E-1,1.218466187E-1,9.857750702E0,9.860866453E0
2.991071000E0,2.082170105E-1,1.187031555E-1,9.757908325E0,9.760851379E0
3.001132000E0,2.107617188E-1,1.179547119E-1,9.742939453E0,9.745932639E0
3.011193000E0,2.140548706E-1,1.269360352E-1,9.851463776E0,9.854606576E0
3.021253000E0,2.041754150E-1,1.230441284E-1,9.813293152E0,9.816188157E0
3.031314000E0,1.999841309E-1,1.095721436E-1,9.699978790E0,9.702658823E0
3.041375000E0,2.167492676E-1,1.127156067E-1,9.760453033E0,9.763510049E0
3.051436000E0,2.142045593E-1,1.050814819E-1,9.855205994E0,9.858093674E0
3.061497000E0,2.085163879E-1,9.550140381E-2,9.752070465E0,9.754766935E0
3.071557000E0,1.972897339E-1,9.265731812E-2,9.693991241E0,9.696441348E0
3.081618000E0,2.047741699E-1,8.562194824E-2,9.826166382E0,9.828672817E0
3.091679000E0,2.074685669E-1,9.145980835E-2,9.852212219E0,9.854820836E0
3.101740000E0,2.070195007E-1,9.011260986E-2,9.719737701E0,9.722359711E0
3.111801000E0,1.989363098E-1,8.023315430E-2,9.746382294E0,9.748742526E0
3.121862000E0,2.095642090E-1,8.801696777E-2,9.880802765E0,9.883416789E0
3.131922000E0,1.999841309E-1,1.044827271E-1,9.817484436E0,9.820076932E0
3.141983000E0,1.917512512E-1,1.011895752E-1,9.689949646E0,9.692374942E0
3.152044000E0,2.025288391E-1,1.116677856E-1,9.824968872E0,9.827690520E0
3.162105000E0,2.034269714E-1,1.209484863E-1,9.880204010E0,9.883038113E0
3.172166000E0,1.972897339E-1,1.140628052E-1,9.768985291E0,9.771643013E0
3.182227000E0,1.980381775E-1,1.127156067E-1,9.746531982E0,9.749195332E0
3.192287000E0,2.043251038E-1,1.175056458E-1,9.869725800E0,9.872539880E0
3.202348000E0,2.052232361E-1,1.270857239E-1,9.820328522E0,9.823294744E0
3.212409000E0,1.996847534E-1,1.148112488E-1,9.717642059E0,9.720371537E0
3.222470000E0,1.999841309E-1,1.152603149E-1,9.786349182E0,9.789070891E0
